metric,winner_median,loser_median,winner_mean,loser_mean,comparison_value,comparison_type,effect_size,winner_n,loser_n,abs_effect
dSalesToAssets,0.0012418909101701682,0.00011518841853333517,0.013007490476998517,-0.08866920899351226,0.001126702491636833,difference,0.02803835174370132,5108,3429,0.02803835174370132
dEffectiveTaxRate,-0.00012917589591374015,0.0,-1801.9739896601259,-17.783203381237357,-0.00012917589591374015,difference,-0.027682056452462873,5119,3434,0.027682056452462873
dGrossProfitToAssets,0.0002644474944362967,0.0,0.007717980042522874,-0.08662282686502681,0.0002644474944362967,difference,0.0259960707182119,5108,3429,0.0259960707182119
uGrahamNumberToPrice,2.0370158195956214,1.5092831735951084,11.639578021375355,3.598094006536223,1.3496578079138424,ratio,0.02598098701051809,3443,1580,0.02598098701051809
dCurrentRatio,-0.00161620299097609,-0.03887776276520738,2.9804646461248896,-11.566453989050581,24.05499988694337,ratio,0.024748805241277146,5119,3434,0.024748805241277146
dReturnOnCapitalEmployed,-0.00022943164155854717,-0.004714100331007772,0.04889622774675557,-14.696135238515136,20.546862233057823,ratio,0.023956616541583087,5119,3434,0.023956616541583087
dReturnOnTangibleAssets,-0.00020702789043049868,-0.004447472848299986,0.006239971327181065,1.172479708383248,0.004240444957869487,difference,-0.022810700834018715,5119,3434,0.022810700834018715
dGrossProfitMargin,0.0,0.0,-2.9767784172163,-42.871862966126336,0.0,difference,0.021112983919062085,5119,3434,0.021112983919062085
uIncomeQuality,1.0191861062583496,0.7754845091955573,-2079.1039852262534,4.384886201636731,1.3142572084587405,ratio,-0.01979179998622105,5119,3434,0.01979179998622105
PEG,-0.9477115265764027,-1.0491828048970246,-640209646927.3297,551032456.2564868,1.1070697944206565,ratio,-0.019695128795270786,5119,3434,0.019695128795270786
dFreeCashFlowToEquity,0.0005478890666459745,-0.00046169026835223524,0.3702521140192776,4.639894706773102,0.0010095793349982098,ratio,-0.019483275023906205,5118,3434,0.019483275023906205
mNetProfitMargin,0.06762702595207318,0.0,-17.157130329629684,-30.69272198889625,0.06762702595207318,difference,0.017009848675105004,5119,3434,0.017009848675105004
mGrossProfitMargin,0.42960645479993415,0.3471303291394405,-2.8382182496057315,-0.9218484012438883,1.2375941216803428,ratio,-0.015732626511005498,5119,3434,0.015732626511005498
mEarningsYield,0.011473161245920181,-0.0005757434467212005,-8.440985873448316,-0.23183559625067515,0.012048904692641381,ratio,-0.01539937795158857,5119,3434,0.01539937795158857
uCurrentRatio,1.4992851009297146,1.7979962319579896,13.886659637814779,20.19757404995524,0.8338644287908304,ratio,-0.010711331384312194,5119,3434,0.010711331384312194
dAssetsToLongTermLiabilities,0.017127379305701407,0.014488927117089379,1.8809963572755977,10.48216202909133,1.1821012810189397,ratio,-0.009172545953868846,4689,2896,0.009172545953868846
dGrossProfit,1411000.0,0.0,-300218118.41793126,48250779.54489685,1411000.0,difference,-0.004338507495887031,5119,3434,0.004338507495887031
dCFOtoMarketCap,0.0005992243804455889,-0.00014212880530086597,-0.09841486414043553,-0.5685657159845422,0.0007413531857464548,difference,0.00415264644525635,5114,3425,0.00415264644525635
mSalesToMarketCap,0.13870355104519388,0.10950260734339097,0.6569318576946107,0.7127605236730168,1.2666689351992433,ratio,-0.0039014124810265614,5118,3428,0.0039014124810265614
mDebtEquityRatio,0.5470247603833865,0.31529663509530104,1.0601932966303094,1.0342596783465474,1.7349527381351335,ratio,0.0015603797140706854,5119,3434,0.0015603797140706854
dRevenue,4310000.0,106000.0,353441375.91774946,312645125.9565929,40.660377358490564,ratio,0.0004147829375969899,5119,3434,0.0004147829375969899
